epoch,loss,accuracy
0.0,0.059750682916925396,98.36268149521162
2.0,0.03454304049691716,98.91148303621726
4.0,0.024067800301655066,99.21495938505151
6.0,0.022887014960436974,99.31308946192007
8.0,0.02035558484041208,99.36397172400008
10.0,0.020298813952933075,99.3912300786858
12.0,0.019403844053158537,99.41121953878864
14.0,0.019569253288838892,99.41485398608006
16.0,0.019421967291570984,99.39668174962293
18.0,0.0199664011899501,99.36578894764578
20.0,0.01886817007779068,99.46028457722292
22.0,0.01926987983748658,99.38396118410293
24.0,0.01925556697966639,99.42212288066293
26.0,0.020567370286593105,99.33853059296007
28.0,0.02023399657458825,99.39668174962293
30.0,0.01855637571787283,99.46573624816007
32.0,0.019837838281040774,99.37850951316578
34.0,0.018725636719792355,99.44211234076577
36.0,0.020013669066112162,99.3930473023315
38.0,0.019863513419485845,99.36215450035436
39.0,0.01920163626758907,99.39668174962293
